,Unnamed: 0,Original Circuit,Original Circuit QASM,Qubit Count,Original Gate Count,Original Depth,H_0,S_0,CX_0,Optimized Circuit,Optimized Circuit QASM,Optimized Gate Count,Optimized Depth,H_Opt,S_Opt,CX_Opt,Time,% Gate Count Reduction,% Depth Reduction,% H Reduction,% S Reduction,% CX Reduction,Optimized Circuit (Redone),Time (Clifford Object),Time (Optimization Process),Time (Reconstruction)
349,349,"                    ┌───┐          ┌───┐┌───┐┌───┐┌───┐          ┌───┐     »
q_0: ───────■───────┤ X ├──────────┤ X ├┤ S ├┤ H ├┤ S ├───────■──┤ H ├──■──»
     ┌───┐┌─┴─┐┌───┐└─┬─┘┌───┐┌───┐└─┬─┘├───┤├───┤├───┤┌───┐┌─┴─┐└───┘┌─┴─┐»
q_1: ┤ S ├┤ X ├┤ S ├──■──┤ S ├┤ S ├──■──┤ S ├┤ S ├┤ S ├┤ S ├┤ X ├─────┤ X ├»
     └───┘└───┘└───┘     └───┘└───┘     └───┘└───┘└───┘└───┘└───┘     └───┘»
«     ┌───┐┌───┐     ┌───┐     
«q_0: ┤ S ├┤ S ├──■──┤ S ├──■──
«     └───┘└───┘┌─┴─┐└───┘┌─┴─┐
«q_1: ──────────┤ X ├─────┤ X ├
«               └───┘     └───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[1];
cx q[0],q[1];
s q[1];
cx q[1],q[0];
s q[1];
s q[1];
cx q[1],q[0];
s q[0];
h q[0];
s q[1];
s q[1];
s q[1];
s q[0];
s q[1];
cx q[0],q[1];
h q[0];
cx q[0],q[1];
s q[0];
s q[0];
cx q[0],q[1];
s q[0];
cx q[0],q[1];",2,22,19,2,13,7,"                              ┌───┐┌───┐┌───┐
q_0: ───────■──────────────■──┤ H ├┤ S ├┤ S ├
     ┌───┐┌─┴─┐┌───┐┌───┐┌─┴─┐└───┘└───┘└───┘
q_1: ┤ S ├┤ X ├┤ H ├┤ S ├┤ X ├───────────────
     └───┘└───┘└───┘└───┘└───┘               ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[1];
cx q[0],q[1];
h q[1];
s q[1];
cx q[0],q[1];
h q[0];
s q[0];
s q[0];",8,8,2,4,2,0.009692907333374023,63.63636363636363,57.89473684210526,0.0,69.23076923076923,71.42857142857143,"                              ┌───┐┌───┐┌───┐
q_0: ───────■──────────────■──┤ H ├┤ S ├┤ S ├
     ┌───┐┌─┴─┐┌───┐┌───┐┌─┴─┐└───┘└───┘└───┘
q_1: ┤ S ├┤ X ├┤ H ├┤ S ├┤ X ├───────────────
     └───┘└───┘└───┘└───┘└───┘               ",0.00011372566223144531,0.009499073028564453,8.0108642578125e-05
350,350,"          ┌───┐┌───┐┌───┐                         ┌───┐┌───┐┌───┐          »
q_0: ─────┤ X ├┤ X ├┤ S ├──■───────────────────■──┤ H ├┤ X ├┤ S ├──────────»
     ┌───┐└─┬─┘└─┬─┘└───┘┌─┴─┐┌───┐┌───┐┌───┐┌─┴─┐├───┤└─┬─┘├───┤┌───┐┌───┐»
q_1: ┤ H ├──■────■───────┤ X ├┤ H ├┤ H ├┤ H ├┤ X ├┤ H ├──■──┤ H ├┤ S ├┤ S ├»
     └───┘               └───┘└───┘└───┘└───┘└───┘└───┘     └───┘└───┘└───┘»
«          ┌───┐┌───┐┌───┐          
«q_0: ─────┤ X ├┤ X ├┤ H ├──■───────
«     ┌───┐└─┬─┘└─┬─┘└───┘┌─┴─┐┌───┐
«q_1: ┤ S ├──■────■───────┤ X ├┤ S ├
«     └───┘               └───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[1];
cx q[1],q[0];
cx q[1],q[0];
s q[0];
cx q[0],q[1];
h q[1];
h q[1];
h q[1];
cx q[0],q[1];
h q[1];
h q[0];
cx q[1],q[0];
h q[1];
s q[1];
s q[0];
s q[1];
s q[1];
cx q[1],q[0];
cx q[1],q[0];
h q[0];
cx q[0],q[1];
s q[1];",2,22,20,8,6,8,"     ┌───┐┌───┐┌───┐┌───┐┌───┐     
q_0: ┤ H ├┤ X ├┤ H ├┤ X ├┤ H ├──■──
     └───┘└─┬─┘└───┘└─┬─┘└───┘┌─┴─┐
q_1: ───────■─────────■───────┤ X ├
                              └───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[0];
cx q[1],q[0];
h q[0];
cx q[1],q[0];
h q[0];
cx q[0],q[1];",6,6,3,0,3,0.0030808448791503906,72.72727272727273,70.0,62.5,100.0,62.5,"     ┌───┐┌───┐┌───┐┌───┐┌───┐     
q_0: ┤ H ├┤ X ├┤ H ├┤ X ├┤ H ├──■──
     └───┘└─┬─┘└───┘└─┬─┘└───┘┌─┴─┐
q_1: ───────■─────────■───────┤ X ├
                              └───┘",0.00011110305786132812,0.0029168128967285156,5.2928924560546875e-05
351,351,"     ┌───┐┌───┐┌───┐┌───┐┌───┐          ┌───┐┌───┐┌───┐┌───┐     ┌───┐┌───┐
q_0: ┤ S ├┤ S ├┤ H ├┤ X ├┤ S ├───────■──┤ S ├┤ S ├┤ H ├┤ S ├─────┤ X ├┤ H ├
     ├───┤├───┤└───┘└─┬─┘├───┤┌───┐┌─┴─┐├───┤├───┤├───┤├───┤┌───┐└─┬─┘├───┤
q_1: ┤ S ├┤ H ├───────■──┤ H ├┤ H ├┤ X ├┤ S ├┤ H ├┤ H ├┤ H ├┤ H ├──■──┤ S ├
     └───┘└───┘          └───┘└───┘└───┘└───┘└───┘└───┘└───┘└───┘     └───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[1];
h q[1];
s q[0];
s q[0];
h q[0];
cx q[1],q[0];
h q[1];
h q[1];
s q[0];
cx q[0],q[1];
s q[0];
s q[0];
h q[0];
s q[1];
h q[1];
h q[1];
h q[1];
h q[1];
s q[0];
cx q[1],q[0];
h q[0];
s q[1];",2,22,14,10,9,3,"     ┌───┐┌───┐     ┌───┐┌───┐┌───┐┌───┐┌───┐     
q_0: ┤ H ├┤ S ├──■──┤ H ├┤ S ├┤ X ├┤ S ├┤ H ├──■──
     ├───┤└───┘┌─┴─┐└───┘└───┘└─┬─┘└───┘└───┘┌─┴─┐
q_1: ┤ S ├─────┤ X ├────────────■────────────┤ X ├
     └───┘     └───┘                         └───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[0];
s q[0];
s q[1];
cx q[0],q[1];
h q[0];
s q[0];
cx q[1],q[0];
s q[0];
h q[0];
cx q[0],q[1];",10,9,3,4,3,0.013498067855834961,54.54545454545455,35.714285714285715,70.0,55.55555555555556,0.0,"     ┌───┐┌───┐     ┌───┐┌───┐┌───┐┌───┐┌───┐     
q_0: ┤ H ├┤ S ├──■──┤ H ├┤ S ├┤ X ├┤ S ├┤ H ├──■──
     ├───┤└───┘┌─┴─┐└───┘└───┘└─┬─┘└───┘└───┘┌─┴─┐
q_1: ┤ S ├─────┤ X ├────────────■────────────┤ X ├
     └───┘     └───┘                         └───┘",0.00010585784912109375,0.013271093368530273,0.00012111663818359375
352,352,"          ┌───┐          ┌───┐          ┌───┐┌───┐┌───┐                    »
q_0: ──■──┤ H ├──────────┤ X ├──■────■──┤ S ├┤ X ├┤ H ├───────■────────────»
     ┌─┴─┐├───┤┌───┐┌───┐└─┬─┘┌─┴─┐┌─┴─┐├───┤└─┬─┘├───┤┌───┐┌─┴─┐┌───┐┌───┐»
q_1: ┤ X ├┤ H ├┤ H ├┤ H ├──■──┤ X ├┤ X ├┤ H ├──■──┤ S ├┤ S ├┤ X ├┤ H ├┤ H ├»
     └───┘└───┘└───┘└───┘     └───┘└───┘└───┘     └───┘└───┘└───┘└───┘└───┘»
«          ┌───┐┌───┐     
«q_0: ─────┤ X ├┤ H ├─────
«     ┌───┐└─┬─┘├───┤┌───┐
«q_1: ┤ S ├──■──┤ H ├┤ H ├
«     └───┘     └───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
cx q[0],q[1];
h q[0];
h q[1];
h q[1];
h q[1];
cx q[1],q[0];
cx q[0],q[1];
cx q[0],q[1];
h q[1];
s q[0];
cx q[1],q[0];
h q[0];
s q[1];
s q[1];
cx q[0],q[1];
h q[1];
h q[1];
s q[1];
cx q[1],q[0];
h q[0];
h q[1];
h q[1];",2,22,18,11,4,7,"     ┌───┐┌───┐     ┌───┐┌───┐┌───┐     
q_0: ┤ H ├┤ S ├──■──┤ H ├┤ S ├┤ X ├──■──
     ├───┤└───┘┌─┴─┐└───┘└───┘└─┬─┘┌─┴─┐
q_1: ┤ H ├─────┤ X ├────────────■──┤ X ├
     └───┘     └───┘               └───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[0];
h q[1];
s q[0];
cx q[0],q[1];
h q[0];
s q[0];
cx q[1],q[0];
cx q[0],q[1];",8,7,3,2,3,0.006888866424560547,63.63636363636363,61.111111111111114,72.72727272727273,50.0,57.142857142857146,"     ┌───┐┌───┐     ┌───┐┌───┐┌───┐     
q_0: ┤ H ├┤ S ├──■──┤ H ├┤ S ├┤ X ├──■──
     ├───┤└───┘┌─┴─┐└───┘└───┘└─┬─┘┌─┴─┐
q_1: ┤ H ├─────┤ X ├────────────■──┤ X ├
     └───┘     └───┘               └───┘",0.00011491775512695312,0.0066890716552734375,8.487701416015625e-05
353,353,"     ┌───┐┌───┐     ┌───┐┌───┐┌───┐┌───┐               ┌───┐┌───┐┌───┐┌───┐»
q_0: ┤ H ├┤ S ├──■──┤ X ├┤ S ├┤ S ├┤ H ├──■────────────┤ X ├┤ S ├┤ S ├┤ S ├»
     ├───┤└───┘┌─┴─┐└─┬─┘└───┘└───┘└───┘┌─┴─┐┌───┐┌───┐└─┬─┘├───┤├───┤└───┘»
q_1: ┤ S ├─────┤ X ├──■─────────────────┤ X ├┤ S ├┤ S ├──■──┤ S ├┤ S ├─────»
     └───┘     └───┘                    └───┘└───┘└───┘     └───┘└───┘     »
«     ┌───┐┌───┐┌───┐┌───┐┌───┐
«q_0: ┤ X ├┤ X ├┤ S ├┤ X ├┤ H ├
«     └─┬─┘└─┬─┘└───┘└─┬─┘└───┘
«q_1: ──■────■─────────■───────
«                              ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[0];
s q[0];
s q[1];
cx q[0],q[1];
cx q[1],q[0];
s q[0];
s q[0];
h q[0];
cx q[0],q[1];
s q[1];
s q[1];
cx q[1],q[0];
s q[0];
s q[0];
s q[1];
s q[1];
s q[0];
cx q[1],q[0];
cx q[1],q[0];
s q[0];
cx q[1],q[0];
h q[0];",2,22,19,3,12,7,"     ┌───┐┌───┐┌───┐┌───┐┌───┐
q_0: ┤ H ├┤ X ├┤ S ├┤ X ├┤ H ├
     └───┘└─┬─┘├───┤└─┬─┘└───┘
q_1: ───────■──┤ H ├──■───────
               └───┘          ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[0];
cx q[1],q[0];
h q[1];
s q[0];
cx q[1],q[0];
h q[0];",6,5,3,1,2,0.0033111572265625,72.72727272727273,73.6842105263158,0.0,91.66666666666669,71.42857142857143,"     ┌───┐┌───┐┌───┐┌───┐┌───┐
q_0: ┤ H ├┤ X ├┤ S ├┤ X ├┤ H ├
     └───┘└─┬─┘├───┤└─┬─┘└───┘
q_1: ───────■──┤ H ├──■───────
               └───┘          ",0.0001220703125,0.003125905990600586,6.318092346191406e-05
354,354,"     ┌───┐┌───┐                         ┌───┐┌───┐┌───┐┌───┐┌───┐     ┌───┐»
q_0: ┤ S ├┤ S ├──■────■────■─────────■──┤ X ├┤ S ├┤ S ├┤ H ├┤ H ├──■──┤ H ├»
     └───┘└───┘┌─┴─┐┌─┴─┐┌─┴─┐┌───┐┌─┴─┐└─┬─┘├───┤├───┤└───┘└───┘┌─┴─┐├───┤»
q_1: ──────────┤ X ├┤ X ├┤ X ├┤ S ├┤ X ├──■──┤ S ├┤ S ├──────────┤ X ├┤ H ├»
               └───┘└───┘└───┘└───┘└───┘     └───┘└───┘          └───┘└───┘»
«     ┌───┐     ┌───┐┌───┐
«q_0: ┤ H ├──■──┤ S ├┤ X ├
«     └───┘┌─┴─┐├───┤└─┬─┘
«q_1: ─────┤ X ├┤ S ├──■──
«          └───┘└───┘     ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[0];
s q[0];
cx q[0],q[1];
cx q[0],q[1];
cx q[0],q[1];
s q[1];
cx q[0],q[1];
cx q[1],q[0];
s q[1];
s q[1];
s q[0];
s q[0];
h q[0];
h q[0];
cx q[0],q[1];
h q[0];
h q[1];
h q[0];
cx q[0],q[1];
s q[0];
s q[1];
cx q[1],q[0];",2,22,18,5,9,8,"          ┌───┐               
q_0: ──■──┤ H ├───────■───────
     ┌─┴─┐├───┤┌───┐┌─┴─┐┌───┐
q_1: ┤ X ├┤ S ├┤ S ├┤ X ├┤ S ├
     └───┘└───┘└───┘└───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
cx q[0],q[1];
h q[0];
s q[1];
s q[1];
cx q[0],q[1];
s q[1];",6,5,1,3,2,0.004099130630493164,72.72727272727273,72.22222222222223,80.0,66.66666666666667,75.0,"          ┌───┐               
q_0: ──■──┤ H ├───────■───────
     ┌─┴─┐├───┤┌───┐┌─┴─┐┌───┐
q_1: ┤ X ├┤ S ├┤ S ├┤ X ├┤ S ├
     └───┘└───┘└───┘└───┘└───┘",0.00012493133544921875,0.0039081573486328125,6.604194641113281e-05
355,355,"     ┌───┐          ┌───┐          ┌───┐                    ┌───┐┌───┐     »
q_0: ┤ H ├──────────┤ X ├───────■──┤ H ├──■─────────■────■──┤ S ├┤ X ├──■──»
     ├───┤┌───┐┌───┐└─┬─┘┌───┐┌─┴─┐├───┤┌─┴─┐┌───┐┌─┴─┐┌─┴─┐├───┤└─┬─┘┌─┴─┐»
q_1: ┤ S ├┤ H ├┤ H ├──■──┤ S ├┤ X ├┤ S ├┤ X ├┤ S ├┤ X ├┤ X ├┤ S ├──■──┤ X ├»
     └───┘└───┘└───┘     └───┘└───┘└───┘└───┘└───┘└───┘└───┘└───┘     └───┘»
«     ┌───┐                    
«q_0: ┤ X ├──■─────────■───────
«     └─┬─┘┌─┴─┐┌───┐┌─┴─┐┌───┐
«q_1: ──■──┤ X ├┤ S ├┤ X ├┤ S ├
«          └───┘└───┘└───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[1];
h q[1];
h q[1];
h q[0];
cx q[1],q[0];
s q[1];
cx q[0],q[1];
s q[1];
h q[0];
cx q[0],q[1];
s q[1];
cx q[0],q[1];
cx q[0],q[1];
s q[0];
s q[1];
cx q[1],q[0];
cx q[0],q[1];
cx q[1],q[0];
cx q[0],q[1];
s q[1];
cx q[0],q[1];
s q[1];",2,22,19,4,8,10,"     ┌───┐               ┌───┐
q_0: ┤ H ├───────■───────┤ X ├
     ├───┤┌───┐┌─┴─┐┌───┐└─┬─┘
q_1: ┤ S ├┤ S ├┤ X ├┤ H ├──■──
     └───┘└───┘└───┘└───┘     ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[0];
s q[1];
s q[1];
cx q[0],q[1];
h q[1];
cx q[1],q[0];",6,5,2,2,2,0.003556966781616211,72.72727272727273,73.6842105263158,50.0,75.0,80.0,"     ┌───┐               ┌───┐
q_0: ┤ H ├───────■───────┤ X ├
     ├───┤┌───┐┌─┴─┐┌───┐└─┬─┘
q_1: ┤ S ├┤ S ├┤ X ├┤ H ├──■──
     └───┘└───┘└───┘└───┘     ",0.00011491775512695312,0.0033409595489501953,0.0001010894775390625
356,356,"     ┌───┐┌───┐     ┌───┐┌───┐┌───┐┌───┐┌───┐┌───┐          ┌───┐          »
q_0: ┤ S ├┤ H ├──■──┤ S ├┤ S ├┤ H ├┤ X ├┤ S ├┤ S ├──■────■──┤ X ├──────────»
     ├───┤└───┘┌─┴─┐├───┤└───┘└───┘└─┬─┘└───┘└───┘┌─┴─┐┌─┴─┐└─┬─┘┌───┐┌───┐»
q_1: ┤ S ├─────┤ X ├┤ H ├────────────■────────────┤ X ├┤ X ├──■──┤ H ├┤ S ├»
     └───┘     └───┘└───┘                         └───┘└───┘     └───┘└───┘»
«          ┌───┐┌───┐               
«q_0: ──■──┤ X ├┤ S ├──■────■────■──
«     ┌─┴─┐└─┬─┘└───┘┌─┴─┐┌─┴─┐┌─┴─┐
«q_1: ┤ X ├──■───────┤ X ├┤ X ├┤ X ├
«     └───┘          └───┘└───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[0];
h q[0];
s q[1];
cx q[0],q[1];
s q[0];
h q[1];
s q[0];
h q[0];
cx q[1],q[0];
s q[0];
s q[0];
cx q[0],q[1];
cx q[0],q[1];
cx q[1],q[0];
h q[1];
s q[1];
cx q[0],q[1];
cx q[1],q[0];
s q[0];
cx q[0],q[1];
cx q[0],q[1];
cx q[0],q[1];",2,22,20,4,8,10,"                         ┌───┐               
q_0: ──■──────────────■──┤ H ├──■────────────
     ┌─┴─┐┌───┐┌───┐┌─┴─┐└───┘┌─┴─┐┌───┐┌───┐
q_1: ┤ X ├┤ H ├┤ S ├┤ X ├─────┤ X ├┤ H ├┤ S ├
     └───┘└───┘└───┘└───┘     └───┘└───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
cx q[0],q[1];
h q[1];
s q[1];
cx q[0],q[1];
h q[0];
cx q[0],q[1];
h q[1];
s q[1];",8,8,3,2,3,0.009987831115722656,63.63636363636363,60.0,25.0,75.0,70.0,"                         ┌───┐               
q_0: ──■──────────────■──┤ H ├──■────────────
     ┌─┴─┐┌───┐┌───┐┌─┴─┐└───┘┌─┴─┐┌───┐┌───┐
q_1: ┤ X ├┤ H ├┤ S ├┤ X ├─────┤ X ├┤ H ├┤ S ├
     └───┘└───┘└───┘└───┘     └───┘└───┘└───┘",0.00012302398681640625,0.009768962860107422,9.584426879882812e-05
357,357,"     ┌───┐     ┌───┐┌───┐┌───┐┌───┐┌───┐┌───┐┌───┐          ┌───┐┌───┐┌───┐»
q_0: ┤ S ├──■──┤ S ├┤ H ├┤ S ├┤ H ├┤ X ├┤ S ├┤ X ├───────■──┤ X ├┤ H ├┤ X ├»
     └───┘┌─┴─┐└───┘└───┘└───┘└───┘└─┬─┘├───┤└─┬─┘┌───┐┌─┴─┐└─┬─┘└───┘└─┬─┘»
q_1: ─────┤ X ├──────────────────────■──┤ H ├──■──┤ H ├┤ X ├──■─────────■──»
          └───┘                         └───┘     └───┘└───┘               »
«          ┌───┐┌───┐     ┌───┐     ┌───┐
«q_0: ─────┤ X ├┤ X ├─────┤ X ├─────┤ X ├
«     ┌───┐└─┬─┘└─┬─┘┌───┐└─┬─┘┌───┐└─┬─┘
«q_1: ┤ H ├──■────■──┤ S ├──■──┤ S ├──■──
«     └───┘          └───┘     └───┘     ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[0];
cx q[0],q[1];
s q[0];
h q[0];
s q[0];
h q[0];
cx q[1],q[0];
s q[0];
h q[1];
cx q[1],q[0];
h q[1];
cx q[0],q[1];
cx q[1],q[0];
h q[0];
cx q[1],q[0];
h q[1];
cx q[1],q[0];
cx q[1],q[0];
s q[1];
cx q[1],q[0];
s q[1];
cx q[1],q[0];",2,22,21,6,6,10,"     ┌───┐┌───┐┌───┐     ┌───┐
q_0: ┤ H ├┤ X ├┤ H ├──■──┤ H ├
     ├───┤└─┬─┘└───┘┌─┴─┐└───┘
q_1: ┤ S ├──■───────┤ X ├─────
     └───┘          └───┘     ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[0];
s q[1];
cx q[1],q[0];
h q[0];
cx q[0],q[1];
h q[0];",6,5,3,1,2,0.0030562877655029297,72.72727272727273,76.19047619047619,50.0,83.33333333333333,80.0,"     ┌───┐┌───┐┌───┐     ┌───┐
q_0: ┤ H ├┤ X ├┤ H ├──■──┤ H ├
     ├───┤└─┬─┘└───┘┌─┴─┐└───┘
q_1: ┤ S ├──■───────┤ X ├─────
     └───┘          └───┘     ",0.00011920928955078125,0.002886056900024414,5.1021575927734375e-05
358,358,"          ┌───┐┌───┐┌───┐                    ┌───┐     ┌───┐┌───┐┌───┐┌───┐»
q_0: ──■──┤ S ├┤ S ├┤ H ├─────────────────■──┤ S ├──■──┤ S ├┤ S ├┤ X ├┤ H ├»
     ┌─┴─┐├───┤├───┤├───┤┌───┐┌───┐┌───┐┌─┴─┐└───┘┌─┴─┐├───┤├───┤└─┬─┘└───┘»
q_1: ┤ X ├┤ S ├┤ S ├┤ H ├┤ S ├┤ H ├┤ S ├┤ X ├─────┤ X ├┤ S ├┤ S ├──■───────»
     └───┘└───┘└───┘└───┘└───┘└───┘└───┘└───┘     └───┘└───┘└───┘          »
«                    
«q_0: ──■─────────■──
«     ┌─┴─┐┌───┐┌─┴─┐
«q_1: ┤ X ├┤ H ├┤ X ├
«     └───┘└───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
cx q[0],q[1];
s q[1];
s q[1];
s q[0];
h q[1];
s q[1];
s q[0];
h q[1];
s q[1];
h q[0];
cx q[0],q[1];
s q[0];
cx q[0],q[1];
s q[1];
s q[0];
s q[1];
s q[0];
cx q[1],q[0];
h q[0];
cx q[0],q[1];
h q[1];
cx q[0],q[1];",2,22,17,5,11,6,"     ┌───┐┌───┐     ┌───┐┌───┐     
q_0: ┤ H ├┤ S ├──■──┤ H ├┤ S ├──■──
     └───┘└───┘┌─┴─┐├───┤├───┤┌─┴─┐
q_1: ──────────┤ X ├┤ S ├┤ H ├┤ X ├
               └───┘└───┘└───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[0];
s q[0];
cx q[0],q[1];
h q[0];
s q[0];
s q[1];
h q[1];
cx q[0],q[1];",8,6,3,3,2,0.007640838623046875,63.63636363636363,64.70588235294117,40.0,72.72727272727273,66.66666666666667,"     ┌───┐┌───┐     ┌───┐┌───┐     
q_0: ┤ H ├┤ S ├──■──┤ H ├┤ S ├──■──
     └───┘└───┘┌─┴─┐├───┤├───┤┌─┴─┐
q_1: ──────────┤ X ├┤ S ├┤ H ├┤ X ├
               └───┘└───┘└───┘└───┘",0.00011992454528808594,0.007458925247192383,6.198883056640625e-05
359,359,"     ┌───┐          ┌───┐     ┌───┐┌───┐┌───┐┌───┐┌───┐┌───┐┌───┐     ┌───┐»
q_0: ┤ X ├──────────┤ X ├─────┤ X ├┤ S ├┤ S ├┤ H ├┤ X ├┤ S ├┤ H ├──■──┤ H ├»
     └─┬─┘┌───┐┌───┐└─┬─┘┌───┐└─┬─┘└───┘└───┘└───┘└─┬─┘├───┤├───┤┌─┴─┐├───┤»
q_1: ──■──┤ H ├┤ H ├──■──┤ H ├──■───────────────────■──┤ H ├┤ S ├┤ X ├┤ S ├»
          └───┘└───┘     └───┘                         └───┘└───┘└───┘└───┘»
«     ┌───┐     ┌───┐┌───┐
«q_0: ┤ S ├──■──┤ S ├┤ S ├
«     └───┘┌─┴─┐├───┤└───┘
«q_1: ─────┤ X ├┤ H ├─────
«          └───┘└───┘     ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
cx q[1],q[0];
h q[1];
h q[1];
cx q[1],q[0];
h q[1];
cx q[1],q[0];
s q[0];
s q[0];
h q[0];
cx q[1],q[0];
s q[0];
h q[1];
s q[1];
h q[0];
cx q[0],q[1];
h q[0];
s q[0];
s q[1];
cx q[0],q[1];
s q[0];
h q[1];
s q[0];",2,22,18,8,8,6,"     ┌───┐┌───┐     ┌───┐┌───┐┌───┐┌───┐     
q_0: ┤ H ├┤ S ├──■──┤ H ├┤ S ├┤ X ├┤ S ├──■──
     └───┘└───┘┌─┴─┐└───┘└───┘└─┬─┘└───┘┌─┴─┐
q_1: ──────────┤ X ├────────────■───────┤ X ├
               └───┘                    └───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[0];
s q[0];
cx q[0],q[1];
h q[0];
s q[0];
cx q[1],q[0];
s q[0];
cx q[0],q[1];",8,8,2,3,3,0.007584095001220703,63.63636363636363,55.55555555555556,75.0,62.5,50.0,"     ┌───┐┌───┐     ┌───┐┌───┐┌───┐┌───┐     
q_0: ┤ H ├┤ S ├──■──┤ H ├┤ S ├┤ X ├┤ S ├──■──
     └───┘└───┘┌─┴─┐└───┘└───┘└─┬─┘└───┘┌─┴─┐
q_1: ──────────┤ X ├────────────■───────┤ X ├
               └───┘                    └───┘",0.00011610984802246094,0.007409095764160156,5.888938903808594e-05
360,360,"     ┌───┐     ┌───┐┌───┐          ┌───┐┌───┐┌───┐          ┌───┐┌───┐┌───┐»
q_0: ┤ H ├──■──┤ H ├┤ X ├──────────┤ X ├┤ X ├┤ S ├───────■──┤ H ├┤ X ├┤ S ├»
     └───┘┌─┴─┐└───┘└─┬─┘┌───┐┌───┐└─┬─┘└─┬─┘├───┤┌───┐┌─┴─┐├───┤└─┬─┘├───┤»
q_1: ─────┤ X ├───────■──┤ S ├┤ H ├──■────■──┤ S ├┤ H ├┤ X ├┤ S ├──■──┤ H ├»
          └───┘          └───┘└───┘          └───┘└───┘└───┘└───┘     └───┘»
«     ┌───┐┌───┐     ┌───┐          
«q_0: ┤ H ├┤ H ├──■──┤ X ├──■───────
«     └───┘└───┘┌─┴─┐└─┬─┘┌─┴─┐┌───┐
«q_1: ──────────┤ X ├──■──┤ X ├┤ H ├
«               └───┘     └───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[0];
cx q[0],q[1];
h q[0];
cx q[1],q[0];
s q[1];
h q[1];
cx q[1],q[0];
cx q[1],q[0];
s q[1];
h q[1];
s q[0];
cx q[0],q[1];
h q[0];
s q[1];
cx q[1],q[0];
s q[0];
h q[1];
h q[0];
h q[0];
cx q[0],q[1];
cx q[1],q[0];
cx q[0],q[1];
h q[1];",2,23,20,9,5,9,"     ┌───┐┌───┐┌───┐┌───┐
q_0: ┤ H ├┤ S ├┤ X ├┤ S ├
     └───┘└───┘└─┬─┘├───┤
q_1: ────────────■──┤ H ├
                    └───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[0];
s q[0];
cx q[1],q[0];
h q[1];
s q[0];",5,4,2,2,1,0.002095937728881836,78.26086956521739,80.0,77.77777777777777,60.0,88.88888888888889,"     ┌───┐┌───┐┌───┐┌───┐
q_0: ┤ H ├┤ S ├┤ X ├┤ S ├
     └───┘└───┘└─┬─┘├───┤
q_1: ────────────■──┤ H ├
                    └───┘",0.00011992454528808594,0.001931905746459961,4.410743713378906e-05
